prestamo_id_pk;prestamo_observaciones;prestamo_fecha_fin;prestamo_libro_id_fk;prestamo_persona_id_fk;prestamo_user_id_fk
1;infraestructura Berkshire;2021-06-23T14:10:00;1;1;1
2;aprovechar;2021-06-23T13:13:22;2;2;2
3;Metal withdrawal;2021-06-23T11:45:04;3;3;1
4;Bebes morph partnerships;2021-06-23T12:40:07;4;4;1
5;matrix;2021-06-22T22:26:20;5;5;1
6;Personal Virtual;2021-06-23T06:40:02;6;6;1
7;Artesanal Hogar Multi;2021-06-22T18:56:08;7;7;1
8;reboot Inteligente;2021-06-23T02:11:12;8;8;1
9;navigate;2021-06-23T02:19:04;9;9;1
10;Región bypassing;2021-06-23T12:40:01;10;10;2
